ELT_PIPELINE_DK,ELT_PIPELINE_GROUP,ELT_PIPELINE_ACTIVE_IND,SRC_SYSTEM_ABBR,SRC_SERVER_NAME,SRC_TYPE,SRC_DB_NAME,SRC_AKV_SECRET_NAME,SRC_SCHEMA_NAME,SRC_TABLE_NAME,SRC_COLUMN_LIST1,TGT_TYPE,TGT_DB_NAME,TGT_SCHEMA_NAME,TGT_TABLE_NAME,INCREMENTAL_IND,KEY_FIELD,INCREMENTAL_FIELD,SRC_LAST_EXTRACT_DTM
1,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactAmenityAssignment,,Table,SilverData,dbo,bix_fact_amenityassignment,0,,AmenityValueEffectiveDate,1/1/1900 0:00
2,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactConcession,,Table,SilverData,dbo,bix_fact_concession,0,ConcessionKey,,1/1/1900 0:00
3,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactDemographicMetrics,,Table,SilverData,dbo,bix_fact_demographicmetrics,0,,,1/1/1900 0:00
4,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactFloorPlanStatistics,,Table,SilverData,dbo,bix_fact_floorplanstatistics,0,FloorPlanKey,PostDate,1/1/1900 0:00
5,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactLease,,Table,SilverData,dbo,bix_fact_lease,0,,,1/1/1900 0:00
6,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactMarketingTrend,,Table,SilverData,dbo,bix_fact_marketingtrend,0,,PostDate,1/1/1900 0:00
7,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactOperationalDailyTrend,,Table,SilverData,dbo,bix_fact_operationaldailytrend,0,,CurrentDate,1/1/1900 0:00
8,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactOperationalKPI,,Table,SilverData,dbo,bix_fact_operationalkpi,0,,PostDate,1/1/1900 0:00
9,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactPropertyMarketingStatistics,,Table,SilverData,dbo,bix_fact_propertymarketingstatistics,0,,PostDate,1/1/1900 0:00
10,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactPropertyProspect,,Table,SilverData,dbo,bix_fact_propertyprospect,0,GuestKey,CreateDate,1/1/1900 0:00
11,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactPropertyStatisticsAsOfDate,,Table,SilverData,dbo,bix_fact_propertystatisticsasofdate,0,,PostDate,1/1/1900 0:00
12,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactRentRollLeaseDetail,,Table,SilverData,dbo,bix_fact_rentrollleasedetail,0,,,1/1/1900 0:00
13,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactResident,,Table,SilverData,dbo,bix_fact_resident,0,,,1/1/1900 0:00
14,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_FactUnitMarketRent,,Table,SilverData,dbo,bix_fact_unitmarketrent,0,,PostDate,1/1/1900 0:00
15,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimAmenity,,Table,SilverData,dbo,bix_dim_amenity,0,,,1/1/1900 0:00
16,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimAmenityProperty,,Table,SilverData,dbo,bix_dim_amenityproperty,0,,RecordCreatedDate,1/1/1900 0:00
17,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimConcession,,Table,SilverData,dbo,bix_dim_concession,0,,,1/1/1900 0:00
18,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimConcessionCategory,,Table,SilverData,dbo,bix_dim_concessioncategory,0,,,1/1/1900 0:00
19,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimConcessionFloorplan,,Table,SilverData,dbo,bix_dim_concessionfloorplan,0,,,1/1/1900 0:00
20,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimConcessionLeaseTerm,,Table,SilverData,dbo,bix_dim_concessionleaseterm,0,,,1/1/1900 0:00
21,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimConcessionQuoted,,Table,SilverData,dbo,bix_dim_concessionquoted,0,,,1/1/1900 0:00
22,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimConcessionUnit,,Table,SilverData,dbo,bix_dim_concessionunit,0,,,1/1/1900 0:00
23,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimEmployee,,Table,SilverData,dbo,bix_dim_employee,0,,,1/1/1900 0:00
24,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimFloorPlan,,Table,SilverData,dbo,bix_dim_floorplan,0,,,1/1/1900 0:00
25,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimFloorPlanGroup,,Table,SilverData,dbo,bix_dim_floorplangroup,0,,,1/1/1900 0:00
26,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimGuest,,Table,SilverData,dbo,bix_dim_guest,0,,,1/1/1900 0:00
27,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimLeaseAttributes,,Table,SilverData,dbo,bix_dim_leaseattributes,0,,,1/1/1900 0:00
28,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimMarketingChannel,,Table,SilverData,dbo,bix_dim_marketingchannel,0,,,1/1/1900 0:00
29,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimProperty,,Table,SilverData,dbo,bix_dim_property,0,,,1/1/1900 0:00
30,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimResident,,Table,SilverData,dbo,bix_dim_resident,0,,,1/1/1900 0:00
31,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimResidentMember,,Table,SilverData,dbo,bix_dim_residentmember,0,,,1/1/1900 0:00
32,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimResidentMemberLease,,Table,SilverData,dbo,bix_dim_residentmemberlease,0,,,1/1/1900 0:00
33,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimUnit,,Table,SilverData,dbo,bix_dim_unit,0,,,1/1/1900 0:00
34,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimUnitAvailabilityHistory,,Table,SilverData,dbo,bix_dim_unitavailabilityhistory,0,UnitAvailabilityHistoryKey,ModifiedDate,1/1/1900 0:00
35,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimUnitVacancyHistory,,Table,SilverData,dbo,bix_dim_unitvacancyhistory,0,UnitVacancyHistoryKey,ModifyDate,1/1/1900 0:00
36,MMR,1,MMR,"tcp:prod-allresco-westus-data-mi.public.cdb8feb27726.database.windows.net,3342",Table,BronzeData,,dbo,BIX_DimRenewal,,Table,SilverData,dbo,bix_dim_renewal,0,RenewalKey,Loaddate,1/1/1900 0:00
37,HelloData,1,HD,,Table,BronzeData,,dbo,hd_amenity,,Table,SilverData,dbo,hd_amenity,0,property_id,load_date,1/1/1900 0:00
38,HelloData,1,HD,,Table,BronzeData,,dbo,hd_building_availability_availability_periods,,Table,SilverData,dbo,hd_building_availability_availability_periods,0,building_availability_id,load_date,1/1/1900 0:00
39,HelloData,1,HD,,Table,BronzeData,,dbo,hd_building_availability_history,,Table,SilverData,dbo,hd_building_availability_history,0,building_availability_id,load_date,1/1/1900 0:00
40,HelloData,1,HD,,Table,BronzeData,,dbo,hd_building_availability,,Table,SilverData,dbo,hd_building_availability,0,property_id,load_date,1/1/1900 0:00
