ELT_PIPELINE_DK,CTRL_GROUP,CTRL_TASK_GROUP,CTRL_PIPELINE_GROUP,ELT_PIPELINE_ACTIVE_IND,SRC_SYSTEM_ABBR,SRC_DB_NAME,SRC_SCHEMA_NAME,SRC_TABLE_NAME,TGT_DB_NAME,TGT_SCHEMA_NAME,TGT_TABLE_NAME,SQL_PROCEDURE_SCHEMA_NAME,SQL_PROCEDURE_NAME,LOAD_DATE_COL
1,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_amenityassignment,Gold_Analytics_Warehouse,Staging_BIX,fact_amenityassignment,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
2,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_concession,Gold_Analytics_Warehouse,Staging_BIX,fact_concession,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
3,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_demographicmetrics,Gold_Analytics_Warehouse,Staging_BIX,fact_demographicmetrics,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
4,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_floorplanstatistics,Gold_Analytics_Warehouse,Staging_BIX,fact_floorplanstatistics,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
5,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_lease,Gold_Analytics_Warehouse,Staging_BIX,fact_lease,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
6,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_marketingtrend,Gold_Analytics_Warehouse,Staging_BIX,fact_marketingtrend,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
7,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_operationaldailytrend,Gold_Analytics_Warehouse,Staging_BIX,fact_operationaldailytrend,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
8,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_operationalkpi,Gold_Analytics_Warehouse,Staging_BIX,fact_operationalkpi,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
9,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_propertymarketingstatistics,Gold_Analytics_Warehouse,Staging_BIX,fact_propertymarketingstatistics,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
10,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_propertyprospect,Gold_Analytics_Warehouse,Staging_BIX,fact_propertyprospect,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
11,FACT,MERGE,1,1,MMR,SilverData,dbo,bix_fact_propertystatisticsasofdate,Gold_Analytics_Warehouse,Staging_BIX,fact_propertystatisticsasofdate,Utility,usp_merge_fact_tables,ELT_Load_Date_MST
